Timestamp (ms),Player,Action
"4000","System","Ball served towards CPU"
"5205","CPU","Hit Ball"
"7639","Player 1","Hit Ball"
"10072","CPU","Hit Ball"
"12504","Player 1","Hit Ball"
"14938","CPU","Hit Ball"
"17371","Player 1","Hit Ball"
"19805","CPU","Hit Ball"
"22239","Player 1","Hit Ball"
"24672","CPU","Hit Ball"
"27106","Player 1","Hit Ball"
"29539","CPU","Hit Ball"
"31972","Player 1","Hit Ball"
"34406","CPU","Hit Ball"
"36839","Player 1","Hit Ball"
"39273","CPU","Hit Ball"
"41706","Player 1","Hit Ball"
"44140","CPU","Hit Ball"
"46574","Player 1","Hit Ball"
"49006","CPU","Hit Ball"
"51441","Player 1","Hit Ball"
"53873","CPU","Hit Ball"
"56306","Player 1","Hit Ball"
"58741","CPU","Hit Ball"
"61174","Player 1","Hit Ball"
"63607","CPU","Hit Ball"
"66040","Player 1","Hit Ball"
"68475","CPU","Hit Ball"
"70908","Player 1","Hit Ball"
"73340","CPU","Hit Ball"
"75776","Player 1","Hit Ball"
"78208","CPU","Hit Ball"
"80708","Player 1","Hit Ball"
"83242","CPU","Lost Life. Remaining: 0"
"83242","CPU","Eliminated"